Device_ID,W,L,length,width,N,nm,hop,SOC,E,energy,Transmission,Average-LDOS,M(E)
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.485,-1.87974683544304,13.1872793933564,0.419062406669486,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.477,-1.86962025316456,13.143844356997,0.419204425074233,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.47,-1.86075949367089,13.1022546544546,0.422044492430168,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.462,-1.85063291139241,13.0691792945876,0.428132464779952,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.455,-1.84177215189873,13.0758804689856,0.43431907082418,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.447,-1.83164556962025,13.0855018925421,0.443908520074435,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.44,-1.82278481012658,13.0622765994446,0.453156866057613,44
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.432,-1.8126582278481,13.694469326457,0.472749121772825,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.425,-1.80379746835443,14.1247626259143,0.478018475795772,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.417,-1.79367088607595,14.4080355234067,0.477377134303607,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.41,-1.78481012658228,14.6065715209815,0.475993508235145,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.402,-1.7746835443038,14.7942291673971,0.4734121903703,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.395,-1.76582278481013,14.9295287479781,0.469918811698758,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.387,-1.75569620253165,15.0578928472764,0.464905859257654,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.38,-1.74683544303797,15.144038597812,0.460280243387854,48
W:36_L:9_NM:19_T:-0.79,36,9,24.055,44.1153340687793,324,19,-0.79,0.1,-1.372,-1.73670886075949,15.2013943057582,0.4548096955708,48
